nombre,numero de opiniones,puntuacion sobre 5,ranking,precio,tipos de cocina,dietas especiales,ubicaciones,puntuaciones desglosadas,Unnamed: 9
La Vaca Argentina Ayala,22,"5,0",1524,,"['Barbacoa', ' Argentina', ' Sudamericana']",,"Calle de Ayala 64, 28001 Madrid España","['0', '0', '0', '2', '17']",
Taberna del Olivo,146,"4,0",1525,,"['Mediterránea', ' Española']",,"Calle Jose Ortega y Gasset 98, 28006 Madrid España","['8', '8', '19', '47', '49']",
Socarratt Valencian Food,143,"4,0",1526,"['8', '14']","['Mediterránea', ' Española', ' Europea']","['Opciones vegetarianas', ' Opciones veganas']","Costanilla de los Capuchinos 5 San Marcos 3, Chueca, 28004 Madrid España","['9', '5', '4', '9', '71']",
La mafia se sienta a la mesa 4 Torres,314,"4,0",1549,,"['Italiana', ' Mediterránea', ' Europea']",,"Paseo De la Castellana, 257, 28046 Madrid España","['31', '10', '46', '95', '118']",
La Pilla,281,"4,0",1551,"['6', '39']","['Española', ' Fusión', ' Saludable', ' Mediterránea', ' Europea', ' Bar']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas', ' Brunch']","Calle Almagro 3, 28010 Madrid España","['29', '9', '28', '72', '133']",
Rong Hua,137,"4,0",22,,"['China', ' Asiática']",,"Travesía Navaluenga 1, 28221 Majadahonda España","['3', '4', '17', '58', '52']",
La Tabarra Madrid,71,"4,5",1553,,"['Saludable', ' Pub restaurante', ' Bar', ' Mediterránea', ' Española', ' Pub', ' Vinoteca']",,"Guzmán el Bueno 50, 28015 Madrid España","['3', '1', '3', '9', '52']",
La Torino,210,"4,0",1552,"['15', '50']","['Argentina', ' Restaurante de carne', ' Barbacoa']","['Bebidas', ' Comidas', ' Cenas', ' Abierto hasta tarde']","Place Hermanos Falco y Alvarez De Toledo, 4 Pl. Hermanos Falco y Alvarez De Toledo, 4, 28042 Madrid España","['13', '7', '32', '62', '56']",
Restaurante La Clave,222,"4,0",1554,"['30', '150']","['Mediterránea', ' Española', ' Contemporánea']","['Opciones vegetarianas', ' Opciones sin gluten']","Calle de Velazquez 22 Junto al Parque de El Retiro, 28001 Madrid España","['20', '7', '19', '69', '89']",
Cerveceria Alquitara,65,"4,5",1555,,"['Bar', ' Internacional', ' Europea', ' Pub']",,"Calle Villacarlos 16, 28032 Madrid España","['1', '0', '3', '22', '38']",
y Lucientes,44,"4,5",1580,"['10', '30']","['Mediterránea', ' Café', ' Saludable']","['Desayuno', ' Comidas', ' Cenas', ' Bebidas']","Glorieta San Antonio de la Florida, 28008 Madrid España","['0', '2', '5', '10', '24']",
La Gastro Salvaje,133,"4,0",1579,,['Mexicana'],,"Calle Ponzano 93, 28003 Madrid España","['8', '10', '8', '39', '62']",
Restaurante Sabor Azafran,102,"4,5",1582,"['15', '25']","['De Oriente Medio', ' Persa']",['Opciones vegetarianas'],"Calle General Aranaz 65, 28027 Madrid España","['6', '3', '6', '22', '56']",
perretxiCo Cuzco,72,"4,5",2405,,"['Bar', ' Café', ' Española', ' Contemporánea', ' Comedor']",,"Calle Poeta Joan Maragall 16 Cuzco, 28020 Madrid España","['11', '1', '1', '4', '53']",
Najera,231,"4,0",1584,"['15', '35']","['Mediterránea', ' Española']","['Comidas', ' Cenas', ' Abierto hasta tarde']","28015, 28015 Madrid España","['13', '5', '23', '73', '103']",
Ginkgo Restaurante & Sky Bar,946,"3,5",1583,"['50', '65']",['Española'],['Opciones sin gluten'],"Plaza de Espana 3, 28008 Madrid España","['102', '77', '113', '184', '285']",
La Jauría,338,"4,0",1585,,"['Mediterránea', ' Europea', ' Española']",,"Calle de Colon 10, 28004 Madrid España","['30', '19', '29', '93', '116']",
The One,70,"4,5",1586,"['45', '100']","['Internacional', ' Asiática', ' Fusión', ' Marisco']","['Opciones vegetarianas', ' Opciones sin gluten']","Calle Aviador Zorita 37, 28020 Madrid España","['1', '3', '5', '19', '37']",
Terezza,121,"4,0",1605,,"['Venezolana', ' Caribeña', ' Latina']",,"Calle de Ventura de la Vega, 15, 28014 Madrid España","['12', '8', '6', '12', '79']",
Regañadientes,65,"4,5",1606,,['Mexicana'],,"Calle del Almte., 14 Es el número 24, no el 14, 28004 Madrid España","['4', '1', '2', '17', '33']",
Restaurante Mezcal,213,"4,0",1607,"['12', '35']","['Mexicana', ' Latina', ' Centroamericana', ' Saludable']",['Opciones sin gluten'],"Calle de Narciso Serra 35 al lado del Retiro de madrid, 28007 Madrid España","['21', '19', '27', '49', '91']",
RESTAURANTE BRASAYLEÑA C.C. PLENILUNIO,527,"4,0",1608,"['10', '20']","['Restaurante de carne', ' Brasileña', ' Barbacoa', ' Sudamericana', ' Asador']","['Comidas', ' Cenas']","Calle Aracne S/N CC Plenilunio, Polígono Las Mercedes, 28022 Madrid España","['74', '28', '43', '69', '280']",
La Mejor Flor Bar,68,"4,5",1609,"['10', '30']","['Internacional', ' Mediterránea', ' Española', ' Bares para comer']",['Opciones vegetarianas'],"Calle Manuela Malasana 22, 28004 Madrid España","['2', '0', '3', '14', '37']",
Domo,173,"4,0",1610,,"['Mediterránea', ' Europea', ' Española']",,"Calle de Padre Damián, 23, 28036 Madrid España","['5', '9', '28', '58', '58']",
Tinuca Comida Tradicional,23,"5,0",1612,,"['Mediterránea', ' Española']",,"Santa Leonor No 52 Madrid, Madrid España","['0', '0', '0', '0', '23']",
Gagos pizza,68,"4,5",1,"['6', '21']","['Pizza', ' Italiana', ' Mediterránea', ' Europea']",['Opciones vegetarianas'],"Avenida Algorta 23, 28830 San Fernando de Henares España","['0', '1', '5', '22', '39']",
Cervecería Thomas,87,"4,5",1631,"['6', '28']","['Alemana', ' Bar', ' Española']","['Comidas', ' Cenas', ' Bebidas']","Calle Rufino Blanco 8, 28028 Madrid España","['3', '1', '4', '13', '62']",
Mar y Tierra Chamartín,91,"4,5",1632,"['19', '28']","['Mediterránea', ' Española']","['Opciones vegetarianas', ' Opciones sin gluten']","Calle ORURO, 11, 28016 Madrid España","['8', '0', '4', '24', '50']",
Che Asador Argentino (C.C. Plenilunio),502,"3,5",1633,,"['Restaurante de carne', ' Barbacoa', ' Argentina']",,"Calle Aracne 3 Plenilunio, 28022 Madrid España","['78', '42', '49', '93', '218']",
Jose Luis Serrano,416,"4,0",1634,,"['Mediterránea', ' Europea', ' Española']",,"Calle de Serrano 89, 28006 Madrid España","['25', '18', '64', '140', '89']",
St. James,509,"4,0",1635,"['56', '83']","['Marisco', ' Mediterránea', ' Europea', ' Española']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Calle Juan Bravo 26, 28006 Madrid España","['30', '25', '63', '121', '113']",
elSantiamén,24,"4,5",1637,"['14', '28']","['Mexicana', ' Internacional', ' Mediterránea', ' Fusión']","['Comidas', ' Cenas', ' Bebidas']","Calle de Fernández de los Ríos, 8, 28015 Madrid España","['0', '0', '1', '5', '16']",
El Puchero,123,"4,0",1659,"['25', '60']","['Mediterránea', ' Española']",['Opciones vegetarianas'],"Calle del Padre Damian 37, 28036 Madrid España","['3', '5', '16', '51', '43']",
Cocina 34,35,"5,0",1660,,['Española'],,"Calle de Martin de Vargas 34, 28005 Madrid España","['0', '0', '1', '2', '28']",
Dspeak,94,"4,0",1661,,"['Española', ' Mediterránea']",,"Calle de Fernando VI 6, 28004 Madrid España","['4', '7', '14', '24', '36']",
Trattoria Casella,59,"4,5",25,,"['Italiana', ' Mediterránea', ' Europea', ' Romana', ' Del Lacio', ' Siciliana', ' Del centro de Italia', ' Del sur de Italia']",,"Calle de Begonia 135, 28109 Alcobendas España","['2', '1', '6', '13', '36']",
Museo Nacional Centro de Arte Reina Sofia,150,"4,0",1662,,"['Comidas', ' Cenas']",,"Calle de Santa Isabel 52, 28012 Madrid España","['7', '2', '9', '12', '29']",
Alma Café,277,"4,0",1663,"['10', '15']","['Café', ' Internacional', ' Mediterránea', ' Europea', ' Española']","['Opciones vegetarianas', ' Opciones veganas']","Calle Santa Isabel, 42 Santa Isabel 42, 28012 Madrid España","['23', '17', '25', '44', '85']",
El Circo de las Tapas,382,"3,5",1664,,"['Bar', ' Mediterránea', ' Europea', ' Española']",,"Corredera Baja de San Pablo 21, 28004 Madrid España","['39', '27', '54', '100', '91']",
Oam Thong,547,"3,5",1687,,"['Asiática', ' Tailandesa']",,"Calle Navarrete 9, 28050 Madrid España","['45', '46', '116', '199', '120']",
El Rincon del Venezolano,64,"4,5",1688,"['2', '12']","['Comida rápida', ' Caribeña', ' Latina', ' Venezolana']",['Opciones veganas'],"Avenida del Doctor Federico Rubio y Gali 40, 28039 Madrid España","['7', '0', '1', '1', '52']",
Restaurante Bahia de Vigo,59,"4,5",1689,,"['Española', ' Mediterránea']",,"Calle Maqueda 26, 28024 Madrid España","['3', '2', '3', '11', '40']",
Federica By Chef Oswaldo Sanchez,72,"4,5",1690,"['15', '25']","['Italiana', ' Latina', ' Internacional', ' Asiática', ' Fusión', ' Mediterránea', ' Española']","['Opciones sin gluten', ' Opciones veganas']","Calle del Conde Duque 10, 28015 Madrid España","['4', '0', '0', '17', '37']",
Restaurante Asador Molinero,75,"4,5",23,,"['Española', ' Asador']",,"Avenida De Europa, 28 Esquina con c/ América, 28224 Pozuelo de Alarcón España","['1', '0', '7', '33', '30']",
La Taberna de Ramales,247,"4,0",1691,,"['Bar', ' Mediterránea', ' Europea', ' Española', ' Bares para comer']",,"Plaza Ramales 2, 28013 Madrid España","['28', '7', '11', '24', '66']",
Casa Mateos,98,"4,5",1692,,"['Mediterránea', ' Española']",,"Calle del Ángel, 7, 28005 Madrid España","['4', '1', '1', '18', '41']",
Matute Warehouse,92,"4,5",1716,"['6', '25']","['Fusión', ' Street food / Comida en la calle']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Calle Noviciado 6, 28015 Madrid España","['2', '6', '8', '14', '49']",
Restaurante Peruano Mis Tradiciones,305,"4,0",1717,"['7', '29']","['Latina', ' Peruana']",['Opciones vegetarianas'],"Paseo de Yeserias 15, 28005 Madrid España","['22', '23', '37', '117', '93']",
Xinito Oriental & Sushi Restaurant,202,"4,0",27,"['6', '23']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","['Comidas', ' Cenas']","Calle Veneros 6 Local nº 6 C.C. Monte del Pilar, 28221 Majadahonda España","['15', '12', '24', '56', '92']",
Papatinte,21,"5,0",1719,,"['Internacional', ' Mediterránea', ' Contemporánea']",,"Calle Pedro Muguruza, 5 Local, 28036 Madrid España","['0', '0', '1', '2', '18']",
Saona Teixeira,242,"4,0",1718,"['12', '17']","['Mediterránea', ' Española', ' Internacional', ' Europea', ' Contemporánea']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Calle de Pedro Teixeira 8, 28020 Madrid España","['30', '18', '22', '43', '118']",
RESTAURANTE Buen Gusto,217,"4,0",1720,"['14', '27']","['China', ' Asiática', ' Saludable', ' Street food / Comida en la calle']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Paseo de Santa María de la Cabeza, 60, 28045 Madrid España","['15', '12', '30', '84', '60']",
Bunny's Deli,42,"5,0",1721,"['3', '18']","['Tienda gourmet', ' Café']","['Opciones vegetarianas', ' Opciones veganas']","Calle de San Gregorio 17, 28004 Madrid España","['0', '0', '1', '1', '23']",
Udaipur,87,"4,0",1744,,"['India', ' Asiática']",,"Paseo De La Castellana 74, 28046 Madrid España","['5', '6', '10', '19', '29']",
La Pollería,54,"4,5",1745,,['Española'],,"Calle de Gravina 3, 28004 Madrid España","['2', '0', '5', '8', '26']",
Taj,322,"3,5",1746,,"['India', ' Asiática']",,"Calle Marques de Cubas 6, 28014 Madrid España","['13', '13', '39', '138', '62']",
Indian Aroma,846,"4,5",199,"['22', '43']","['India', ' Asiática', ' Balti']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Calle Ventura de La Vega 6, 28014 Madrid España","['4', '10', '49', '115', '229']",
FORNERIA BALLARO,253,"4,0",1747,"['25', '50']","['Italiana', ' Pizza', ' Mediterránea', ' Europea', ' Siciliana', ' Del sur de Italia']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Calle de Santa Engracia, 90, 28010 Madrid España","['19', '19', '41', '62', '100']",
