nombre,numero de opiniones,puntuacion sobre 5,ranking,precio,tipos de cocina,dietas especiales,ubicaciones,puntuaciones desglosadas,Unnamed: 9
Urrechu,103,"4,0",2429,,"['Mediterránea', ' Española']",,"Calle Barlovento, 1, 28017 Madrid España","['4', '5', '8', '26', '49']",
La Viña de Nerea,102,"4,0",2430,"['10', '25']","['Europea', ' Española', ' Mediterránea']","['Comidas', ' Cenas']","Avda. de Logroño 128, 28042 Madrid España","['5', '7', '14', '31', '33']",
Taberna el Torito,74,"4,0",2431,"['10', '28']",['Española'],"['Comidas', ' Cenas', ' Desayuno', ' Abierto hasta tarde', ' Bebidas']","Calle Cartagena 24, 28028 Madrid España","['4', '2', '7', '20', '38']",
el Globo Pozuelo,37,"4,5",34,"['6', '12']","['Mediterránea', ' Bar', ' Pub', ' Catalana']","['Cenas', ' Desayuno', ' Comidas']","Avenida de Europa 23b, 28224 Pozuelo de Alarcón España","['4', '1', '0', '0', '32']",
La Huerta de Carabana,54,"4,0",2432,,['Española'],,"Calle Goya 76 Espacio Gourmet del Corte Ingles, 28009 Madrid España","['2', '2', '7', '15', '28']",
Don Oso,32,"4,5",2433,,"['Americana', ' Bar']",,"Calle de la Cruz 26, 28012 Madrid España","['1', '0', '3', '12', '11']",
Pez Fuego,119,"4,0",2434,"['40', '50']","['Mediterránea', ' Española']",['Opciones sin gluten'],"Calle Orense 68, 28020 Madrid España","['11', '11', '15', '40', '37']",
Mavera Bar & Restaurante,27,"4,5",2455,"['18', '25']","['Turca', ' Internacional', ' Mediterránea', ' De Oriente Medio']","['Comidas', ' Cenas', ' Brunch', ' Bebidas']","Calle de Sor Angela de la Cruz, 37, 28020 Madrid España","['1', '1', '1', '5', '15']",
Magasand Columela,233,"4,0",2456,,"['Mediterránea', ' Europea', ' Saludable', ' Contemporánea', ' Sopas']",,"C/ Columela nº4, 28001 Madrid España","['27', '12', '21', '72', '78']",
Sidrería La Cuenca,43,"4,5",2457,,['Española'],,"Calle de la Cruz Verde 16, 28004 Madrid España","['3', '3', '1', '2', '30']",
Bar Lozano,87,"4,0",3,,['Española'],,"Calle Virgen del Templo 2, 28830 San Fernando de Henares España","['5', '2', '15', '24', '41']",
El Gusto Es Nuestro,32,"4,5",2458,,"['Japonesa', ' Peruana', ' Española', ' Tailandesa', ' Sudamericana']",,"Calle Puente La Reina, 25 Local 1 & 2, 28050 Madrid España","['1', '0', '1', '3', '27']",
La Muralla de Avila,46,"4,0",2459,"['3', '19']",['Española'],"['Cenas', ' Comidas']","Calle Francos Rodriguez, 62, 28039 Madrid España","['1', '1', '4', '15', '19']",
Dalù burger,22,"4,5",2460,"['10', '15']","['Americana', ' Venezolana', ' Sudamericana']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle Hartzenbusch 7, 28010 Madrid España","['0', '0', '2', '6', '13']",
El 3 de Galdós,405,"3,5",2483,,"['Bar', ' Mediterránea', ' Europea', ' Española']",,"Calle de Perez Galdos, 3 Chueca, 28004 Madrid España","['51', '18', '40', '71', '111']",
El Winnie,67,"4,0",2484,,"['China', ' Asiática']",,"Calle de San Leonardo 3, 28015 Madrid España","['3', '2', '9', '21', '23']",
Ainhoa,88,"4,0",2485,,['Española'],,"Calle de Doña Bárbara de Braganza, 12 calle Tambre 20, 2º piso, 28004 Madrid España","['3', '2', '17', '32', '27']",
La Fontana de Oro,274,"3,5",2486,,"['Bar', ' Pub']",,"Calle Victoria, 1, 28012 Madrid España","['23', '6', '18', '63', '46']",
La Panza Es Primero,527,"3,5",2487,"['17', '30']","['Mexicana', ' Latina', ' Centroamericana']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle Libertad 33, 28004 Madrid España","['59', '39', '107', '168', '102']",
Restaurante Swagat II,62,"4,0",2488,,"['India', ' Asiática']",,"Calle Cartagena 82, 28028 Madrid España","['0', '5', '7', '17', '28']",
Sumer,74,"4,0",2489,"['7', '15']","['Mediterránea', ' Turca', ' De Oriente Medio']","['Opciones vegetarianas', ' Opciones veganas']","C/Bravo Murillo 17, 28015 Madrid España","['5', '3', '6', '12', '44']",
Taberna El Rebote,72,"4,0",37,"['20', '50']","['Mediterránea', ' Española']","['Opciones vegetarianas', ' Opciones sin gluten']","Calle de Francisco Umbral 8, 28220 Majadahonda España","['5', '2', '4', '25', '35']",
Los Arrieros,114,"4,0",2511,,"['Española', ' Mediterránea']",,"Calle San Nicolás, 9, 28013 Madrid España","['11', '4', '14', '34', '39']",
La Vagoneta,124,"4,0",38,,"['Mediterránea', ' Española']",,"Avenida de Camilo Jose Cela 11, 28100 Alcobendas España","['9', '9', '14', '43', '48']",
La Embajada Madrid,247,"4,0",2513,"['15', '40']","['Mexicana', ' Japonesa', ' Mediterránea', ' Europea', ' Española', ' Asiática']",['Opciones vegetarianas'],"Juan Bravo, 43 Juan Bravo, 43, 28006 Madrid España","['28', '26', '31', '41', '116']",
Mojama Restaurante,13,"5,0",2512,,['Mediterránea'],,"Calle de Fernández de la Hoz 40, 28010 Madrid España","['0', '0', '0', '2', '11']",
La Milanese Madrid,12,"5,0",2514,"['18', '30']","['Italiana', ' Mediterránea']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle Francisco Silvela 77 Nro 77, 28028 Madrid España","['0', '0', '0', '0', '11']",
Casa Andreea,99,"4,0",2515,,"['Española', ' Mediterránea']",,"Calle del Padre Claret 10, 28002 Madrid España","['10', '6', '5', '34', '38']",
Olsen,19,"5,0",2536,,"['Café', ' Tienda gourmet', ' Argentina']",,"Paseo la Habana 50, 28036 Madrid España","['0', '0', '0', '0', '18']",
Como En Chile,50,"4,5",2538,"['5', '35']","['Pub restaurante', ' Chilena', ' Bar', ' Pub']","['Comidas', ' Cenas', ' Bebidas']","Calle Fernando el Católico 53, 28015 Madrid España","['4', '1', '3', '7', '31']",
La Chelinda,74,"4,0",2539,"['15', '20']","['Mexicana', ' Latina']","['Comidas', ' Cenas']","Calle Fuencarral 135, 28010 Madrid España","['8', '4', '1', '8', '49']",
Mozzafiato Restaurante Italiano Pasta Fresca,15,"4,5",2540,,"['Italiana', ' Mediterránea', ' Europea']",,"Calle de Viriato, 11, 28010 Madrid España","['0', '0', '1', '2', '10']",
Restaurante Kokochin,32,"4,5",2542,"['30', '100']","['China', ' Asiática']","['Cenas', ' Comidas', ' Abierto hasta tarde', ' Bebidas']","Camino De Zarzuela 21, Aravaca (valdemarín) Detrás Del Hotel Aravaca Village, 28023 Madrid España","['1', '4', '1', '0', '24']",
Jose Luis - El Estudiante,62,"4,0",39,,"['Mediterránea', ' Española', ' Europea']",,"Carretera de Barajas Km. 4, 28108 Alcobendas España","['5', '7', '10', '11', '29']",
La Mordida Ríos Rosas,14,"5,0",2541,,['Mexicana'],,"Ríos Rosas, 38, 28003 Madrid España","['0', '1', '0', '0', '13']",
UDON La Vaguada,127,"4,0",2564,"['3', '15']","['Japonesa', ' Asiática']","['Opciones vegetarianas', ' Opciones veganas']","Avenida Monforte de Lemos, 36, 28029 Madrid España","['9', '9', '21', '37', '44']",
El Trasgu de Ponzano,11,"5,0",2565,,"['Restaurante de carne', ' Marisco', ' Mediterránea', ' Española']",,"C/ de Ponzano, 6, 28010 Madrid, 28010 Madrid España","['0', '0', '0', '0', '10']",
Pomodoro e Basilico,21,"5,0",2566,,"['Bar', ' Italiana', ' Pizza', ' Mediterránea', ' Europea']",,"Calle de San Anastasio 4, 28005 Madrid España","['0', '0', '0', '2', '18']",
Loreto Coffee Bar,291,"3,5",2567,,"['Internacional', ' Mediterránea', ' Europea', ' Española']",,"Corredera Baja de San Pablo 6, 28004 Madrid España","['46', '17', '26', '65', '86']",
Sumo,340,"3,5",2568,"['13', '20']","['Asiática', ' Fusión']","['Opciones vegetarianas', ' Opciones veganas']","Paseo Castellana 89 Metro Santiago Bernabéu Salida Azca, 28046 Madrid España","['37', '24', '60', '139', '66']",
La Trattoria Di Aluche,128,"4,0",2569,"['10', '14']","['Italiana', ' Europea']","['Comidas', ' Cenas']","Calle Guareña, 4, 28044 Madrid España","['15', '13', '13', '21', '65']",
Origen Taste The World,62,"4,5",2570,,"['Desayuno', ' Comidas', ' Cenas']",,"Calle Maldonadas 7 Frente al Metro La Latina, 28005 Madrid España","['4', '0', '5', '13', '25']",
Granjero Busca Campero,31,"4,5",2592,"['3', '8']",['Española'],['Opciones vegetarianas'],"Calle Barbieri 13 Chueca, 28004 Madrid España","['1', '0', '2', '2', '23']",
Restaurante El Principe,95,"4,0",2593,,"['Mediterránea', ' Española', ' Europea']",,"Plaza Hermanos Falco y Alvarez de Toledo 4 Hostal El Principe, 28042 Madrid España","['5', '4', '13', '29', '19']",
Foster's Hollywood,32,"4,5",23,,['Americana'],,"C.C. Getafe 3. Plaza Juan Carlos I, s/n. Centro Comercial Getafe 3. Local 108, 28905 Getafe España","['0', '4', '2', '7', '19']",
Pez Japanese Grill,26,"4,5",41,,"['Japonesa', ' Sushi', ' Asiática']",,"Calle Valgrande, 1, Local 30, 28220 Majadahonda España","['1', '1', '2', '5', '17']",
Atipico Madrid,12,"5,0",2595,"['20', '25']","['Mexicana', ' Fusión']","['Comidas', ' Cenas', ' Bebidas']","Calle Ferraz 9 Local 1, 28008 Madrid España","['1', '0', '0', '1', '9']",
La Mordida Diego de León,42,"4,0",2594,"['15', '35']","['Mexicana', ' Americana', ' Latina', ' Española', ' Saludable', ' Sudamericana', ' Centroamericana']","['Desayuno', ' Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle de Diego de León, 56, 28006 Madrid España","['3', '5', '2', '5', '24']",
Larrocería,15,"5,0",2596,,"['Mediterránea', ' Española', ' Europea']",,"Calle Andrés Mellado, 43 Puesto 11 Mercado De Guzmán El Bueno, 28015 Madrid España","['0', '0', '0', '3', '10']",
Madrida,18,"4,5",2617,,"['Restaurante de carne', ' Mediterránea', ' Española', ' Saludable']",,"Calle López De Aranda 36, 28027 Madrid España","['0', '1', '0', '2', '15']",
Pizza Napoli Sanchinarro,73,"4,0",2618,"['10', '20']","['Italiana', ' Pizza']","['Opciones vegetarianas', ' Opciones veganas']","Calle Manuel Pombo Angulo, 24, 28050 Madrid España","['7', '3', '4', '23', '34']",
Asiako,29,"4,0",2619,,"['Fusión japonesa', ' Japonesa', ' Sushi']",,"Calle Del Marqués De Riscal Número 5, 28010 Madrid España","['0', '2', '2', '6', '17']",
Jose Luis General Oraá,121,"4,0",2620,,"['Europea', ' Española', ' Mediterránea']",,"Calle General Oraa 5, 28006 Madrid España","['9', '7', '15', '37', '36']",
Casa Santona Avenida de Nazaret,199,"3,5",2621,"['30', '40']","['Marisco', ' Española']",['Opciones sin gluten'],"Avenida Nazaret 10, 28009 Madrid España","['16', '11', '34', '90', '39']",
Burmet,24,"4,5",2622,"['10', '45']","['Americana', ' Barbacoa', ' Mexicana']","['Comidas', ' Cenas', ' Bebidas']","Paseo Los Olmos 13, 28005 Madrid España","['1', '0', '1', '3', '16']",
JARDÍN SALVADOR BACHILLER,1404,"3,5",2623,,"['Café', ' Mediterránea', ' Europea', ' Saludable']",,"Calle Montera 37, 28013 Madrid España","['206', '118', '171', '365', '351']",
Frida frijol,19,"5,0",2644,"['8', '15']","['Mexicana', ' Americana', ' Latina']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle del Cardenal Cisneros 19, 28010 Madrid España","['0', '0', '0', '0', '16']",
La Loca Lagarejos,31,"4,5",2645,,['Española'],,"Calle Vizcaya 11, 28045 Madrid España","['0', '1', '4', '7', '17']",
Dagustin,128,"4,0",24,,"['Marisco', ' Española']",,"Calle Fundidores, 71, 28906 Getafe España","['19', '10', '14', '18', '64']",
La venganza de Malinche,230,"3,5",2646,,"['Mexicana', ' Latina', ' Centroamericana']",,"Calle Jardines # 5, 28013 Madrid España","['32', '16', '28', '62', '66']",
Portomarin,306,"3,5",2647,,"['Bar', ' Española']",,"Calle Valencia 4, 28012 Madrid España","['28', '26', '64', '75', '53']",
Restaurante Muuu,99,"4,0",2648,,"['Mediterránea', ' Española']",,"Calle Victor Andres Belaunde 8, 28016 Madrid España","['3', '9', '16', '35', '33']",
Abude’s,41,"4,5",2650,,"['Opciones vegetarianas', ' Opciones veganas']",,"Calle Martin de los Heros 7, 28008 Madrid España","['1', '1', '1', '8', '24']",
Plaza Mayor Pastelería,35,"4,5",2672,,['Española'],,"Calle Zaragoza 3, 28012 Madrid España","['1', '1', '1', '9', '17']",
La Villa del Narcea,11,"5,0",2673,"['3', '15']","['Comida rápida', ' Mediterránea', ' Española', ' Asador', ' Saludable']","['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Bebidas']","Calle General Pardiñas 31, 28001 Madrid España","['0', '0', '0', '0', '11']",
Belaunde 22,83,"4,0",2674,,"['Mediterránea', ' Española']",,"Calle Victor Andres Belaunde 22, 28016 Madrid España","['6', '2', '12', '33', '29']",
Hueso,12,"5,0",2675,,"['Española', ' Mediterránea']",,"Calle Marqués del Duero 5, 28001 Madrid España","['0', '0', '1', '1', '9']",
El Rincón de Jaén II,110,"3,5",2676,,"['Mediterránea', ' Española']",,"Calle Doctor Gómez Ulla, 6 237 237, 28028 Madrid España","['6', '8', '27', '30', '30']",
La Caña de Gonzalo,58,"4,0",2678,"['2', '20']","['Española', ' Mediterránea']",['Opciones vegetarianas'],"Av. Logroño 205 Madrid 28042 Av. Logroño 205, 28042 Madrid España","['3', '1', '7', '19', '24']",
La Tia Juana,78,"4,0",2677,,"['Mexicana', ' Latina', ' Española', ' Sudamericana', ' Centroamericana']",,"Calle de Manuela Malasaña 15, 28004 Madrid España","['12', '5', '2', '8', '41']",
Honest Greens Serrano,46,"4,0",2697,"['8', '16']","['Mediterránea', ' Europea', ' Saludable']",['Opciones veganas'],"Calle Serrano 41, 28001 Madrid España","['7', '1', '1', '11', '17']",
"La Mestiza, Wines, Food & Cocktails",25,"4,5",2700,"['10', '40']","['Bar', ' Vinoteca']",['Bebidas'],"Calle de la Palma 73, 28015 Madrid España","['2', '0', '0', '1', '19']",
Fitzburger,115,"4,0",2701,,['Americana'],,"Calle de Gabriel Lobo 20, 28002 Madrid España","['13', '2', '19', '28', '51']",
La Chingona,160,"3,5",2702,,"['Mexicana', ' Latina']",,"Calle Camino Zarzuela, 23, 28023 Madrid España","['16', '18', '26', '31', '62']",
Restaurante Wangwang,36,"4,5",2703,,"['China', ' Asiática']",,"Calle San Bernardino,6, 28015 Madrid España","['2', '0', '3', '8', '20']",
Siracusa Madrid,47,"4,5",2704,"['7', '22']",['Italiana'],"['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle del Doctor Fleming 23, 28010 Madrid España","['3', '3', '3', '7', '31']",
Circulo Granjeño,93,"4,0",24,"['10', '25']","['Mediterránea', ' Española']",['Opciones vegetarianas'],"Calle Monegros 53, 28915 Leganés España","['10', '5', '9', '26', '43']",
Cereal Monkeys,46,"4,5",2723,,['Café'],,"Calle Guzman El Bueno 127, 28003 Madrid España","['3', '2', '3', '3', '35']",
Inti De Oro Callao Gran Vía,19,"4,5",2724,,"['Peruana', ' Latina', ' Marisco', ' Española', ' Sudamericana']",,"Calle Navas De Tolosa, 9, 28013 Madrid España","['1', '0', '1', '1', '9']",
La Poza del Aqua,26,"4,5",25,,"['Italiana', ' Española', ' Mediterránea']",,"Av Vicente Ferrer 9, 28918 Leganés España","['1', '1', '2', '3', '18']",
Bistró el 94,27,"4,5",2725,"['5', '15']","['Mediterránea', ' Española']","['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Abierto hasta tarde', ' Bebidas']","Calle Lope de Rueda 57, 28009 Madrid España","['0', '0', '2', '10', '15']",
Agrado Café,22,"4,5",.º 121,"['2', '15']","['Café', ' Española', ' Venezolana', ' Sudamericana']","['Desayuno', ' Comidas', ' Brunch', ' Bebidas']","Calle Embajadores 14 Calle embajadores 14, 28012 Madrid España","['1', '1', '1', '2', '15']",
Matsuri,138,"4,0",2727,,"['Sushi', ' Asiática']",,"Calle Lopez de Aranda 38, 28027 Madrid España","['11', '7', '20', '51', '44']",
La Fogata,165,"4,0",2728,,"['Colombiana', ' Latina']",,"Glorieta del Puente de Segovia 1, 28011 Madrid España","['19', '6', '25', '46', '56']",
Santo Mauro Restaurant,103,"4,0",2750,,"['Mediterránea', ' Española', ' Europea']",,"Calle Zurbano 36, 28010 Madrid España","['9', '5', '9', '24', '39']",
Restaurante Tagolago,39,"4,5",2751,"['4', '16']","['Mediterránea', ' Española', ' Vinoteca']",['Opciones vegetarianas'],"c/Doctor Castelo, 4, 28001 Madrid España","['0', '4', '4', '9', '22']",
Pizza Nonna,103,"4,0",45,"['5', '8']","['Pizza', ' Italiana', ' Comida rápida']","['Opciones vegetarianas', ' Opciones veganas']","Carretera Bobadilla, 35 local 25-27 Centro Comercial  el Paular, Puerta Sierra III, 28220 Majadahonda España","['9', '5', '8', '24', '57']",
Smok Mok Limón,34,"4,5",2752,"['7', '16']","['Asiática', ' Mediterránea', ' Española', ' Fusión', ' Street food / Comida en la calle']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle Limon 12, 28015 Madrid España","['1', '1', '4', '5', '22']",
Cervecería Hevia,40,"4,5",2753,,"['Europea', ' Española']",,"Calle ALCALA, 440 LOCAL, 28027 Madrid España","['1', '1', '4', '8', '19']",
Ananta,28,"4,5",2754,"['20', '35']",['India'],['Opciones vegetarianas'],"Calle Del Poeta Joana Magarall 58, 28020 Madrid España","['0', '0', '4', '9', '14']",
Casa Camacho,121,"4,0",2755,,"['Española', ' Bar', ' Pub']",,"Calle de San Andres, 4, 28055 Madrid España","['20', '0', '8', '30', '39']",
212 Bistró,35,"4,0",2775,"['4', '8']","['Americana', ' Venezolana', ' Sudamericana']","['Comidas', ' Cenas', ' Desayuno', ' Brunch', ' Abierto hasta tarde', ' Bebidas']","Calle de Alcalá, 196 Diagonal a la Plaza de Toros de Ventas, 28028 Madrid España","['2', '1', '4', '10', '14']",
Lana Parrilla Argentina,14,"4,5",2776,,"['Argentina', ' Restaurante de carne', ' Barbacoa']",,"Calle Ponzano 59, 28003 Madrid España","['0', '0', '2', '2', '7']",
Qava X Martín Afinador,46,"4,0",2777,,"['Española', ' Mediterránea', ' Tienda gourmet']",,"Calle del Doctor Castelo 34, 28009 Madrid España","['5', '1', '3', '12', '22']",
Restaurante La Cañada,230,"3,5",29,"['25', '60']","['Mediterránea', ' Española']",['Opciones sin gluten'],"Ctra Nacional M 501 km 2.500 Salida 36 M40, 28660 Boadilla del Monte España","['23', '24', '39', '76', '63']",
Laparada,18,"4,5",42,,"['Latina', ' Venezolana', ' Española', ' Sudamericana']",,"Av. de Europa, 27, Local 16, 28224 Pozuelo de Alarcón España","['1', '0', '0', '1', '14']",
Garelos,69,"4,0",2779,,"['Española', ' Saludable']",,"Calle Blanca de Navarra 6, 28010 Madrid España","['1', '11', '7', '12', '28']",
Urban Green Organic Market,24,"4,5",2778,"['4', '12']","['Comida rápida', ' Mediterránea']","['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Bebidas']","Calle de Francisco de Ricci 7 Bajo, 28015 Madrid España","['0', '2', '0', '3', '18']",
Beiben Gastrobar,17,"5,0",2803,,['Comida rápida'],,"Paseo de Santa María de la Cabeza, 86, 28045 Madrid España","['0', '1', '0', '1', '14']",
La Unica Madrid,111,"3,5",2804,,"['Mexicana', ' Española']",,"Calle Claudio Coello 10, 28001 Madrid España","['18', '9', '10', '6', '56']",
Sal Mestiza,23,"4,5",2805,,"['Mexicana', ' Bar', ' Pub']",,"Calle Lagasca 103 Local Izquierdo Fachada blanca, 28006 Madrid España","['2', '1', '0', '0', '14']",
Peyma,78,"4,0",2807,,"['Mediterránea', ' Española', ' Bar', ' Café', ' Pub']",,"Calle Embajadores 39, 28012 Madrid España","['7', '1', '8', '13', '30']",
Taberna Tempranillo,67,"4,0",2808,,"['Española', ' Mediterránea', ' Vinoteca']",,"Calle Cava Baja 30, 28005 Madrid España","['7', '1', '1', '8', '14']",
Sol Y Roll,11,"5,0",2809,"['5', '11']","['Comida rápida', ' Internacional', ' Mediterránea', ' Saludable', ' Street food / Comida en la calle']","['Cenas', ' Comidas', ' Abierto hasta tarde', ' Bebidas']","Calle de San Marcos 11, 28004 Madrid España","['0', '0', '0', '0', '5']",
