Musashi;510;4;463;nan;['Japonesa', ' Sushi', ' Asiática'];nan;Calle Conchas 4, 28013 Madrid España;['6', '19', '49', '191', '207'];
La Entretenida;364;4;464;nan;['Española'];nan;C/ Cervantes, 16, 28014 Madrid España;['7', '16', '30', '76', '87'];
L'Abbraccio;303;4;465;['20', '30'];['Italiana', ' Mediterránea', ' Española'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Capitán Haya 51, 28020 Madrid España;['4', '8', '30', '108', '132'];
Sol Azteca;388;4,5;466;['12', '30'];['Mexicana'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle General Pardiñas, 61 Todos los días abrimos horario de comida y cenas/13:00-23:30 domingos 13:00-17:00, 28006 Madrid España;['23', '12', '19', '51', '253'];
Urrechu Velázquez;334;4,5;467;['40', '60'];['Mediterránea', ' Europea', ' Española', ' Contemporánea'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle de Velázquez, 150, 28002 Madrid España;['15', '6', '27', '71', '192'];
La Fragua de Vulcano;931;4;489;['3', '30'];['Bar', ' Mediterránea', ' Europea', ' Española'];['Opciones vegetarianas'];Calle de Álvarez Gato 9, 28012 Madrid España;['20', '17', '50', '160', '223'];
El Buey;356;4,5;490;nan;['Restaurante de carne', ' Mediterránea', ' Española'];nan;Plaza de la Marina Española, 1, 28013 Madrid España;['6', '14', '32', '93', '129'];
Atlantik Corner;486;4;492;['20', '30'];['Fusión'];['Opciones vegetarianas', ' Opciones sin gluten'];Calle Pedro Muguruza 5 Chamartin, 28036 Madrid España;['8', '13', '52', '159', '175'];
Piantao Legazpi;202;4,5;491;['40', '80'];['Restaurante de carne', ' Barbacoa', ' Argentina'];['Comidas', ' Cenas', ' Abierto hasta tarde'];Paseo la Chopera, 69, 28045 Madrid España;['8', '8', '13', '34', '132'];
Yerbabuena;704;4;493;['13', '25'];['Europea', ' Saludable'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Bordadores, 3 Metro Sol u Opera, 28013 Madrid España;['23', '26', '45', '175', '247'];
Twister Rock&Food Leganés Centro;265;4,5;1;['7', '25'];['Americana'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle de San Nicasio, Nº45, 28911 Leganés España;['8', '5', '18', '69', '162'];
Poké Friendly;45;5;494;['3', '13'];['Saludable', ' Hawaiana', ' Japonesa', ' Comida rápida', ' Internacional', ' Asiática'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Vallehermoso 36 Planta Baja, 28015 Madrid España;['0', '0', '0', '0', '37'];
